0	2	2401
1	2	2798
2	2	3092
3	2	4323
4	2	3183
5	0	1234
5	1	708
6	0	2640
6	1	708
7	2	1084
8	0	1234
8	1	4156
9	2	3936
10	2	1964
11	2	1407
12	2	1478
13	0	2384
13	1	4156
14	2	3799
15	0	1234
15	1	1084
16	2	3850
17	2	1482
18	2	1235
19	2	2157
20	2	2928
21	2	4740
22	2	4780
23	2	4420
24	2	1726
25	2	2180
26	2	2938
27	2	2705
28	2	3677
29	2	385
30	0	1234
30	1	2347
31	2	2088
32	0	2296
32	1	2951
33	2	5090
34	0	2779
34	1	3850
35	2	2280
36	0	2640
36	1	3850
37	2	1930
38	0	2640
38	1	1693
39	2	3143
40	2	802
41	2	2609
42	2	4736
43	0	2215
43	1	708
44	2	301
45	2	2795
46	0	1234
46	1	1478
47	2	4111
48	2	3278
49	0	1234
49	1	3246
50	2	302
51	0	2146
51	1	1693
52	0	118
52	1	4156
53	2	2806
54	2	4105
55	2	450
56	2	2759
57	0	1234
57	1	980
58	2	4745
59	0	3748
59	1	4156
60	2	3122
61	0	2384
61	1	4218
62	0	2384
62	1	1478
63	0	2640
63	1	3246
64	2	1205
65	2	2461
66	2	2766
67	0	1227
67	1	2951
68	0	1481
68	1	708
69	2	1258
70	2	3967
71	2	283
72	2	114
73	0	2640
73	1	2858
74	0	2640
74	1	3831
75	2	2314
76	2	2104
77	2	3963
78	0	4029
78	1	708
79	0	5018
79	1	708
80	2	2081
81	0	2640
81	1	3356
82	0	3748
82	1	2245
83	0	4535
83	1	708
84	2	3004
85	0	4171
85	1	4156
86	0	2194
86	1	3936
87	0	4678
87	1	1693
88	0	2640
88	1	4420
89	2	1933
90	2	546
91	0	1234
91	1	2766
92	2	2080
93	2	673
94	0	5110
94	1	3831
95	2	2646
96	0	1234
96	1	79
97	0	118
97	1	2798
98	0	3748
98	1	4218
99	0	3748
99	1	3831
100	0	5110
100	1	1084
101	2	3622
102	2	4621
103	0	4568
103	1	1084
104	2	3046
105	2	3791
106	0	4549
106	1	451
107	2	3102
108	2	428
109	0	2640
109	1	681
110	2	3902
111	2	3300
112	2	1269
113	0	2125
113	1	2347
114	2	4399
115	0	4029
115	1	4780
116	0	1688
116	1	2113
117	0	118
117	1	980
118	0	3748
118	1	4323
119	2	1744
120	2	4641
121	0	2146
121	1	4967
122	0	1234
122	1	2227
123	0	2146
123	1	4780
124	2	76
125	2	5012
126	2	3429
127	0	2194
127	1	4323
128	2	2426
129	0	2640
129	1	4323
130	2	3601
131	2	2605
132	2	4249
133	0	2640
133	1	2766
134	2	3915
135	0	3661
135	1	1693
136	0	3177
136	1	2951
137	0	400
137	1	1084
138	2	37
139	0	2146
139	1	4221
140	2	1620
141	0	1234
141	1	451
142	0	1234
142	1	1898
143	0	4535
143	1	2798
144	0	2194
144	1	681
145	0	4171
145	1	4780
146	2	1189
